text,stage,установление_контакта,выявление_потребностей,презентация,работа_с_возражениями,закрытие,method,pressure,result,property_type,objection,manager_style,client_mood,details,technique,client_type,params,outcome
"Менеджер: Здравствуйте! Это Сергей из агентства недвижимости. Как дела? 

Клиент: Здравствуйте, хорошо, спасибо. У вас что-то интересное есть?

Менеджер: Да, конечно! Я хотел бы рассказать вам о жилом комплексе 'Премиум'. Там сейчас отличные предложения на квартиры от 4 миллионов рублей.

Клиент: О, я слышал об этом ЖК. Какие размеры квартир там предлагаются?

Менеджер: В 'Премиуме' доступны варианты от 40 до 100 квадратных метров. А еще у нас действуют акции по беспроцентной рассрочке до конца месяца!

Клиент: Интересно! Когда можно посмотреть квартиры?

Менеджер: Давайте назначим встречу уже на эту неделю? Есть свободные слоты в четверг и пятницу после обеда.

Клиент: Четверг звучит отлично! Во сколько можем встретиться?

Менеджер: Как насчет 15 часов? Так мы сможем обсудить все детали прямо на месте.

Клиент: Отлично, жду с нетерпением встречи в четверг в 15 часов!

Менеджер: Прекрасно! До скорой встречи тогда!",Установление контакта,5,2,1,3,1,,,,,,настойчивый,заинтересованный,ЖК 'Премиум',,,,
"Менеджер: Добрый день! Это [Имя] из агентства недвижимости. У вас есть минутка? Я хотел бы обсудить интересное предложение по загородному дому.

Клиент: Здравствуйте! Да, конечно, интересно. О чем речь?

Менеджер: Мы сейчас реализуем замечательный дом в Подмосковье, 150 квадратных метров с участком 12 соток всего за 8 миллионов рублей. Отличный вариант для отдыха и жизни вдали от городской суеты!

Клиент: Звучит заманчиво. Какой район? И какие там условия по инфраструктуре?

Менеджер: Дом находится в районе Нахабино – здесь хорошая транспортная доступность и развитая инфраструктура: магазины, школы и даже недалеко лесополоса для прогулок. Вы не хотите его посмотреть на выходных?

Клиент: На выходные звучит хорошо! Есть ли возможность увидеть дом в субботу утром?

Менеджер: Конечно! Давайте назначим встречу на субботу в 10 утра? Я подготовлю все необходимые документы.

Клиент: Да, давайте так сделаем. Жду вашего звонка или сообщения с адресом.

Менеджер: Замечательно! Я отправлю вам информацию о месте встречи ближе к дате. Спасибо за интерес к нашему предложению!

Клиент: Благодарю вас! До связи тогда.
",Установление контакта,5,2,1,3,1,,,,,,настойчивый,заинтересованный,загородный дом,,,,
"Менеджер: Здравствуйте! Я рад, что мы подошли к финальной части наших переговоров. У нас есть два варианта для вас: квартира на 3 этаже площадью 75 кв.м за 6,5 млн рублей или похожая на 5 этаже с видом на парк за 7 млн рублей. Какой из них вам больше нравится?

Клиент: Привет! Оба варианта интересные, но мне хочется узнать о состоянии квартир. Есть ли какие-то отличия в ремонте?

Менеджер: Да, конечно! Квартира на 3 этаже требует небольшого косметического ремонта и готова к заселению через месяц после покупки. А вот квартира на 5 этаже полностью отремонтирована и может быть передана сразу после сделки.

Клиент: Понятно... Но у меня есть еще пара вопросов по документам...

Менеджер: Все документы готовы к сделке без задержек! Мы можем оформить все необходимые бумаги в течение недели при условии предоплаты.

Клиент: В таком случае я могу подумать до завтра? Мне нужно обсудить это с супругом.

Менеджер: Конечно, позвоните мне завтра утром – обе квартиры пользуются спросом и могут уйти быстро. Это действительно хороший выбор для вашего бюджета!

Клиент: Хорошо, тогда жду завтрашнего звонка и постараюсь принять решение быстрее!",Закрытие сделки,3,2,2,3,5,альтернативный выбор,есть другие покупатели,успешная сделка,,,,,,,,,
"Менеджер: Здравствуйте! Рад вас видеть снова. Как вы решили по поводу квартиры на улице Ленина, 45? Она действительно пользуется большим интересом!

Клиент: Привет! Да, я подумывал об этом. Но надо еще подумать…

Менеджер: Понимаю, это важно! Просто хочу вам сказать, что у нас есть несколько заинтересованных покупателей. Если вы хотите остановить свой выбор именно на этой квартире, лучше сделать это быстро.

Клиент: Ого, не знал про других клиентов… А сколько она стоит?

Менеджер: Сейчас цена составляет 6 миллионов рублей за 70 квадратов. И в дополнение к этому мы можем предложить услуги по оформлению ипотеки с низкой ставкой – всего от 7% годовых.

Клиент: В принципе интересно… но все же нужна минутка для размышлений.

Менеджер: Конечно! Однако имейте в виду – если предложение уйдет к другим покупателям и квартира будет продана до вашего решения, то шанс ее купить исчезнет надолго. Так что может быть имеет смысл сразу забронировать?

Клиент: Хм... давайте тогда возьму эту квартиру и добавлю ипотечные услуги тоже!

Менеджер: Отличный выбор! Я подготовлю договор прямо сейчас. Вы точно не пожалеете о своем решении!",Закрытие сделки,3,2,2,3,5,искусственное ограничение,есть другие покупатели,продажа доп. услуги,,,,,,,,,
"Менеджер: Здравствуйте! Спасибо, что проявили интерес к нашей квартире. У нее отличная планировка и хорошая цена - 4,5 миллиона рублей за 75 квадратных метров.

Клиент: Добрый день! Да, но я слышал много негативного о районе. Как можно быть уверенным в безопасности и развитии инфраструктуры?

Менеджер: Я понимаю ваши опасения по поводу района. Безопасность — это важный аспект при покупке недвижимости. Могу рассказать о мерах, которые принимаются для улучшения ситуации? 

Клиент: Слышал уже об этом от других менеджеров… Но всё равно не вижу смысла рисковать.

Менеджер: Конечно, ваше беспокойство вполне оправдано. Вы правы; район действительно требует внимания властей на данный момент.

Клиент: Так а стоит ли тогда покупать квартиру здесь? Может искать варианты в другом месте…

Менеджер: Ваше мнение важно для нас как потенциального покупателя. Позвольте уточнить – какие аспекты вас больше всего беспокоят относительно этого района?

Клиент: В первую очередь безопасность и наличие магазинов или школ поблизости!

Менеджер: Понимаю вас полностью! На самом деле рядом с домом есть несколько школьных учреждений и супермаркетов в пределах пяти минут пешком.

Клиент: Это неплохо... Но если честно, все еще сомневаюсь из-за общего впечатления о районе.

Менеджер: Я ценю вашу откровенность! Возможно, мы могли бы рассмотреть возможность скидки на квартиру именно ввиду этих обстоятельств? Например, можем предложить 100 тысяч рублей ниже первоначальной цены!

Клиент:* раздумывает * Ну хорошо... Если вы сможете снизить цену до 4 миллионов рублей - тогда я готов подумать серьезнее над покупкой этой квартиры.
",Работа с возражениями,2,2,3,5,3,,,,,плохой район,,,,LAER метод,,,просит скидку
"Менеджер: Добрый день! Спасибо, что нашли время. Как я понимаю, вас беспокоит расположение объекта?  
Клиент: Да, район мне не очень нравится. Он кажется небезопасным и там нет хорошей инфраструктуры.  
Менеджер: Я слышу ваши опасения по поводу безопасности и удобств в районе. Могу уточнить, какие именно аспекты вам не подходят?  
Клиент: Мне важно наличие магазинов и школ поблизости. Здесь этого явно недостаточно.  
Менеджер: Понимаю вас полностью — доступность магазинов и образовательных учреждений действительно важна для комфортной жизни семьи. Мы можем рассмотреть варианты рядом с этим объектом?  
Клиент: Ну да, но все равно этот район вызывает у меня сомнения…   
Менеджер: Вы имеете в виду общую атмосферу или конкретные примеры негативного опыта жителей района?    
Клиент: В целом здесь как-то пустовато выглядит... И люди на улицах странно себя ведут иногда.
Менеджер: Это вполне объяснимо! Однако многие жители отмечают изменения к лучшему в последние годы благодаря активному развитию местности — новые школы строят и дороги ремонтируют! Возможно стоит обсудить новшества вместе с ценой этой квартиры?
Клиент: Может быть вы правы… Но всё же цена должна соответствовать уровню комфорта.
Менеджер : Конечно! На данный момент квартира продается за 4 миллиона рублей при площади 70 м² – это довольно конкурентоспособное предложение для данного региона.
Клиент : Если вы говорите о развитии района - возможно имеет смысл посмотреть другие объекты тоже…
 Менеджер : Совершенно согласен! Давайте создадим список объектов в более подходящих районах с аналогичным уровнем цены!
",Работа с возражениями,2,2,3,5,3,,,,,плохой район,,,,перефразирование,,,клиент согласился
"Менеджер: Здравствуйте! Как могу вам помочь с выбором недвижимости? 

Клиент: Привет. Я смотрел вашу квартиру, но там нужен серьезный ремонт. Это меня останавливает.

Менеджер: Понимаю ваше беспокойство по поводу ремонта, это действительно важный момент при покупке жилья.

Клиент: Да, я не хочу сразу входить в дополнительные расходы на ремонт после покупки.

Менеджер: Согласен. Однако стоит отметить, что квартиры с ремонтом часто стоят дороже на 10-15%. Вы можете рассмотреть вариант сделать его постепенно и таким образом экономить средства.

Клиент: Это конечно так, но все равно мне нужно будет вложиться в работу и материалы. Можно ли получить какую-то скидку?

Менеджер: Хороший вопрос! Могу предложить небольшую скидку – например, 100 тысяч рублей от первоначальной цены квартиры за счет возможного снижения вашего бюджета на ремонт!

Клиент: Хм... Это уже интереснее! Но можно ли больше? Например, если бы была скидка 150 тысяч?

Менеджер: Я понимаю ваши пожелания. Давайте посмотрим реальные цифры - рынок сейчас очень динамичный; возможно мы сможем еще немного потолковать по цене или добавить другие приятные условия для вас!

Клиент: Ладно, давайте попробуем обсудить детали этой возможности со стороны ценовых условий и работоспособности договора!

Менеджер: Отлично! Я подготовлю для вас детальное предложение с учетом всех ваших пожеланий и отправлю его в ближайшие пару часов.",Работа с возражениями,2,2,3,5,3,,,,,нужен ремонт,,,,LAER метод,,,просит скидку
"Менеджер: Здравствуйте! Рад вас видеть. Как у вас дела?  
Клиент: Добрый день! У нас все хорошо, спасибо. Мы очень рады начать поиски квартиры.  
Менеджер: Отлично! Заходите сесть, расскажите мне о ваших пожеланиях к квартире и районе. Что для вас важно?  
Клиент: Нам нужно 2 комнаты, чтобы была отдельная спальня для детей и кухня-гостиная. И желательно близость к детскому саду и парку.  
Менеджер: Понял вас, это важные моменты для молодой семьи. В каком ценовом диапазоне вы планируете приобрести квартиру?   
Клиент: Мы готовы рассмотреть варианты до 7 миллионов рублей – ипотека уже одобрена на эту сумму.
Менеджер: Хорошо! Есть несколько интересных вариантов в этом бюджете в районе Краснопресненской площади или Новых Черемушках — обе локации имеют хорошие школы и сады поблизости.
Клиент: А какова площадь квартир?
Менеджер: Обычно от 60 до 80 квадратных метров по вашим требованиям.
Клиент: Замечательно! Когда мы можем посмотреть эти варианты?
Менеджер: Предлагаю организовать просмотры на выходных – как вам суббота утром?",Выявление потребностей,3,5,2,2,1,,,,,,,,,активное слушание,молодая семья,ипотека готова,
"Менеджер: Привет! Рад видеть тебя на показе этой студии. Она находится в районе с хорошей инфраструктурой, хотя и далеко от метро.

Клиент: Привет! Да, я заметил это. Честно говоря, меня смущает расстояние до станции. Это не очень удобно.

Менеджер: Понимаю твои опасения. Но посмотри на преимущества – здесь есть много магазинов и кафе в шаговой доступности, а также парки для прогулок!

Клиент: Это верно, но мне все-таки важно быстро добираться до работы через метро… Сколько времени займёт путь?

Менеджер: Обычно это около 15-20 минут на автобусе или маршрутке до ближайшей станции метрополитена.

Клиент: То есть каждый день придется тратить минимум полчаса только на дорогу? 

Менеджер: Да, но учти — эта студия стоит всего 4 миллиона рублей за 30 квадратных метров! В центре аналогичные варианты будут стоить почти в два раза больше!

Клиент: Все равно как-то некомфортно получается... А что насчёт качества самой квартиры?

Менеджер: Здесь сделан хороший ремонт с современными отделочными материалами. Ты можешь сразу же въехать и жить без дополнительных вложений.

Клиент: Это действительно радует… Может быть тогда подумаю?",Презентация объекта,2,3,5,3,2,демонстрация преимуществ,,,студия,далеко от метро,,,,,,,
"Менеджер: Здравствуйте! Меня зовут Ирина, я консультант по недвижимости из компании ""Доступное жилье"". Как ваши дела? 

Клиент: Да, нормально. Но если честно, не очень люблю говорить с менеджерами по недвижимости.

Менеджер: Понимаю вас! Наша работа может быть навязчивой. Просто хотел рассказать о новом жилом комплексе “Премиум”, который открывается в вашем районе. Уникальное предложение!

Клиент: Ага, и что это за уникальность такая?

Менеджер: Там квартиры от 3 миллионов рублей до 6 миллионов рублей на выбор — разные метражи от 45 до 100 квадратов. Срок сдачи — декабрь этого года! Хотите узнать больше?

Клиент: Не знаю… мне сейчас вообще не до жилья.

Менеджер: Я понимаю вас полностью! Но думаю, эта информация может быть полезной в будущем. Может мы просто встретимся на объекте? Это будет без обязательств!

Клиент: Ладно-ладно... Когда можно посмотреть?

Менеджер: Как насчет следующей среды в два часа дня? Я могу провести вам экскурсию по территории комплекса и показать образцы квартир!

Клиент: Ну хорошо, увидимся тогда.
",Установление контакта,5,2,1,3,1,,,,,,дружелюбный,раздраженный,ЖК 'Премиум',,,,
