книга,категория,техника,оценка_качества
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Как вы думаете, что они выберут?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Представьте себе, что я сижу перед вами, улыбаюсь и говорю: ""Мистер Джонсон, вы хотите, чтобы ваша жена была наследницей, или у вас оформлена доверенность на управление имуществом?",6.5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы знаете, как это делается?",5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Замечательно, но мне-то что с того?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Затем кое-что из сказанного мистером Эдвардсом пробилось ко мне, и я подумал:   ""Почему бы не затвердить эти принципы дословно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если кто-то положит его в мешок и бросит вам, что вы сделаете?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вот мой ответ-""дикобраз"": ""Почему вы так боитесь раздосадовать возможных покупателей, если ваша главная задача заключается в том, чтобы убедить их в выгодности вашего предложения?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Один из самых распространенных вопросов при продаже товаров и услуг - ""когда мы можем получить это?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что делает профессионал, когда покупатель задает такой вопрос?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"В таком случае вы знаете, как довести дело до конца, не правда ли?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что делает ""продавец"", когда он пользуется такими методами?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Вам когда-нибудь приходилось покупать товар у профессионала?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Не удивляло ли вас то, как свободно вы разговаривали с некоторыми продавцами, прежде чем совершить у них покупку?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Уздечка набрасывается так незаметно, что вы даже не пытаетесь встать на дыбы?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Осведомительные вопросы настолько просты и очевидны, что мы часто не ощущаем скрытого в них подвоха:   ""Могу я чем-то помочь вам?",8
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы торгуете как посредник, то, возможно, у вас не бывает ситуаций, когда появляется искушение спросить: ""Чем я могу вам помочь?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Приходилось ли вам замечать, как покупатели замыкаются в себе, когда вы начинаете рассказывать им о фантастических преимуществах вашего товара, о его качестве и гарантиях?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Приходилось ли вам видеть, как застывают лица, как они складывают руки на груди и начинают отводить взгляд?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы согласны, что репутация профессионала в своем деле имеет важное значение?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Я не даю им шанса на размышление, иначе их ответ может оказаться неблагоприятным для меня Что для этого требуется?",6.5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Я не могу подводить людей к решению, пока сам не приму его Как вы думаете, обладает ли клиент полной информацией о вашем предложении?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы предлагаете на выбор несколько товаров или услуг, то какое количество обычно выбирает средний клиент?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что делает врач, когда вы приходите к нему с жалобами на болезнь?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Разве это не то, что вы должны делать?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Как это согласуется с моим утверждением, что вы должны принимать решения за своих клиентов?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"При этом вы рискуете вступить в конфликт с ""гномом"", но что вы теряете?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"К примеру, кто будет волноваться по поводу свиных потрохов, какао-бобов или хлопка-сырца?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Ловите перемены на ходу Что представляет собой эмоциональный прием, который приводит к покупке?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Далее, я спрашиваю слушателей на семинарах: что такое позитивные эмоции покупателей?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Силач Джонни обращается к мальчику: «Ты хочешь быть таким же, как Силач Джонни, правда?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но объясняют ли они, почему вам хочется иметь эту вещь?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Черт побери, почему этот крокодил прицепился к нам?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Допустим, могут ли десять негативных образов уравновесить десять позитивных образов и оставить вас в том же положении, что и до начала беседы с клиентом?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Разве вас удивило мое утверждение о том, что они могут вызвать страх, гнев и отвращение?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Но какое впечатление произвели его слова и поведение на супругов в торговом зале?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что вы делаете, когда вкладываете деньги?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы пускаете их в дело, чтобы получить доход или иные выгоды в будущем, не так ли?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что вы делаете, когда платите за товар?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы скажете: «Эта модель идет по 975 долларов», то можете спровоцировать покупателя на вопрос: «0'кей, но какую скидку вы можете дать, если я куплю ее?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Какой образ вспыхивает в вашем сознании, когда вы видите эти два слова?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"КОНТРАКТ Что представляют себе большинство людей, когда они слышат слово «контракт»?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что думает клиент, когда слышит такие слова?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Наиболее важная эмоция в общении с такими людьми выражается вопросом, который они задают себе ежедневно: ""Как я могу повысить свой престиж, усилить свое влияние, упрочить свое положение?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"На инстинктивном уровне вопрос формулируется следующим образом: ""А что мне с этого будет?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но большинство сотрудников, чиновников и других покупателей для организаций, пусть и честных, все же задаются вопросом: ""Что мне с этого будет?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Почему они должны сегодня же одобрить покупку вашего товара или услуги вместо того, чтобы передать ваше предложение на комиссию, взять его для согласования или засунуть в архивную папку № 13, как только вы выйдете из кабинета?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Может быть, желаете позвонить им прямо сейчас и убедиться, что они довольны качеством нашего сервиса?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Чувства как инструменты для создания эмоциональных стимулов Сколько чувств вы имеете?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы только и делаете, что говорите, то сколько чувств вы привлекаете?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что же воспламеняло их интерес до такой степени, что обычное любопытство сменялось покупательской лихорадкой?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Но как эта информация проникала в их разум?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Тогда он улыбался, словно соглашаясь с ними, и спрашивал: ""Наверное, вам интересно, почему я топлю камин в такую погоду?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Почему я не делаю то, что должен делать?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"За этим вопросом стоит проблема: как я могу заставить себя делать то, что должен делать?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вскоре мы расскажем об этом, но сначала давайте ответим на вопрос ""почему?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"В чем вы не испытывали недостатка, когда начали свою карьеру в торговле?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Помните, как это было?",5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но что случилось с вашим энтузиазмом, пока вы набирались знаний?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Теперь мы подошли к сути вопроса: Почему вам не хочется делать то, что вы должны делать?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Как впадают в депрессию Приходилось ли вам переживать тяжелые дни, когда вы просто не могли заставить себя встать и заняться делом?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Дни, когда вам хотелось проехать мимо своего офиса, спрятаться, никому не звонить?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Приходится ли вам сдерживать свои творческие по­рывы из-за того, что вы не хотите рассердить опреде­ленных людей, не скрывающих своей неприязни к энергичным и целеустремленным работникам?",6.5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но что такое ""надежное положение""?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если у вас вид неудачника, то кто поверит, что вы хорошо знаете свою работу?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы отказываетесь поступиться частью того, что уже имеете, откуда вы возьмете место, время, деньги и энергию для новых свершений?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Хотелось бы вам узнать метод, гарантирующий, что вы никогда не потерпите неудачу в беседе с потенциальным клиентом, в проведении важной презентации, при заключении крупной сделки?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Как вы думаете, что я переживал в тот момент?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Сколько людей, которых вы знаете, не хотят даже пробовать, потому что боятся потерпеть неудачу?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"А понимаешь ли ты, что это значит?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы не можете договориться о встрече с потенциальным клиентом, то не спрашиваете себя: ""Что я сделал неправильно?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если покупатели заходят в ваш торговый зал и выходят из него, не обратив на вас внимания, вы не спрашиваете себя: ""Что я сделал неправильно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы с блеском проводите демонстрацию или презентацию, пока клиент не просит вас удалиться с глаз долой, вы не спрашиваете себя: ""ЧТО Я СДЕЛАЛ НЕПРАВИЛЬНО?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Спрашивайте: ""Что я сделал правильно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Разумеется, я спрашиваю себя, что я сделал неправильно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Знаете ли вы, что на свете очень много продавцов, никогда не предлагавших потенциальным клиентам купить их товар?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Однако если избыточный вес угнетает вас, то вам придется что-то делать, не так ли?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Мать постоянно спрашивает меня, почему я не даю себе отдыха, а отец говорит: ""Зачем так упираться?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"И это человек, ради которого я должен что-то менять в своей жизни?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Чем же вас приветствуют сразу после того, как вы покидаете врата творения?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Знаете ли вы, как много людей бесцельно бродит вокруг в поисках места, где они могли бы воссоединить эту оборванную связь?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Это звучит примерно так: ""Хопкинс, вам известно, что в вашем отделе самая низкая производительность во всей нашей цепи реализации?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Надеюсь, вам известно, как плохо обстоят наши дела?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Глава № 6 Учитесь любить слово ""нет"" Каким было первое слово, которое вы усвоили от родителей?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Может быть, потому что они не любили нас?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Помните, как это было?",5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если это правда, то почему вы убеждаете себя, что вам платят 100 долларов за сделку, но ничего не платят за контакт с потенциальным покупателем?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Когда вы получаете отказ во время телефонного разговора с клиентом; когда вы получаете отказ после демонстрации или презентации; когда заказ на ваше предложение отменяется уже после заключения сделки из-за какой-нибудь досадной мелочи - что вам предлагается?,7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Потратьте время и энергию, анализируя факты и изучая урок, который вы оплатили, вместо того чтобы заламывать руки и восклицать: ""Что я сделал неправильно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Люди спрашивали Эдисона: ""Какие чувства вы испытывали после тысячи неудачных экспериментов?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что произойдет, если торпеда будет воспринимать отказ как личную обиду?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Но что вы делали три недели спустя?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Каждый раз, когда вы проводите демонстрацию или презентацию, а клиенты отказываются от покупки, что они дают вам вместо заказа?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Это все, что нам нужно делать?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы остановитесь на отказе, то что вы унесете с собой?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Каждый раз после заключения сделки с одним из уже существующих клиентов или покупателей что вы должны сделать?,7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Стоит ли удивляться тому, что Чемпионы предпочитают работать с подготовленными клиентами?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"И если вы хотите, чтобы это случилось, работа с подготовленными клиентами должна играть значительную роль в вашем будущем, верно?",7.5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"А приходилось ли вам когда-нибудь спрашивать покупателей: ""Знаете ли вы людей, которые могут интересоваться (тем, что они приобрели у вас)?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы притормаживаете на улице и спрашиваете, как проехать к тому или иному месту, что делают люди?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы знаете, чем они пользуются сейчас, то в большинстве случаев вы можете предвидеть/что им понадобится позднее, не так ли?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Существуют периоды, когда ""покупательский зуд"" обостряется у большинства людей, но бывает ли у кого-нибудь более раннее обострение этой приятной болезни?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Но как я выясню продолжительность цикла для моего товара?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы заметили, какие шаги я сделал для того, чтобы получить важную информацию?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Когда торговые агенты уходят из организации, что они оставляют после себя?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы работаете в коммерческой, промышленной или любой другой сфере продажи, где заключаются крупные сделки, то вы работаете с деловыми людьми, не так ли?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Согласны ли вы, что людям, покупающим ваш товар, приходится иметь дело с большим количеством почты?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что делает корпоративный служащий - инженер, инвестор или занятой бизнесмен - с письмом, полученным от человека, который предлагает свои услуги в качестве нового представителя торговой компании, некогда продавшей свой товар адресату?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что говорит деловой человек, когда представитель компании звонит ему в самое лихорадочное рабочее время?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если это необходимо, позвоните секретарше, чтобы назначить встречу, но сначала убедитесь, что у вас имеется хороший ответ на неизбежный вопрос: ""По какому делу?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Возможно, вы думаете: ""А что, если они не испытывают ""чесотки""?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Три года назад клиенты покупали самое лучшее, но сейчас оно устарело, а ведь вы хотите, чтобы они имели все лучшее, не так ли?",7.5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Знаете ли вы, что почти каждый товар является устаревшим с точки зрения его создателей, начиная с того момента, как он запускается в производство?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Они думают: ""Как нам усовершенствовать его?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Кто-то должен позвонить мне и сказать: ""Я знаю, что вы будете делать через три недели: вы будете сидеть в кресле и смотреть Суперкубок, верно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Что ему может понадобиться в области услуг как обладателю нового дома и автомобиля?,8
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но при этом мы не будем забывать, что он и его семья должны получить от этого максимальную выгоду, правильно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Куда подевались доблестные представители нашей профессии, когда в их городе появился столь заманчивый потенциальный клиент?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"А что же делать, если вы продаете страховки, дорогую мебель, произведения искусства, спортивные автомобили?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"А как насчет людей, которые пришли вторыми, третьими или просто участвовали в гонках?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что происходит, когда стоимость сервисного обслуживания аппарата возрастает?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы купите магнитофон, когда вернетесь из поездки, или предпочитаете взять с собой новый стереомаг-нитофон в следующее путешествие?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"А как насчет первого продавца, выписавшего мне квитанцию на ремонт?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но что, если у вас нет веры в их эффективность?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"А теперь вспомним, какая методика подразумевает ответ вопросом на вопрос клиента?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что часто происходит, когда вы договариваетесь о встрече?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Поэтому после уточнения всех подробностей вы говорите: ""Если случится нечто совершенно непредвиденное и мне придется попросить вас изменить время нашей встречи, куда я могу позвонить вам?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Видите, как это просто?",5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Можно узнать, какого она класса и мощности?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Вам хотелось бы внести какие-либо изменения в вашу текущую программу по страхованию здоровья?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Как вы думаете, какие новые функции могли бы повысить производительность вашего аппарата?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы не находите, что гораздо лучше и пойти на уступки, и заключить сделку?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Поиски списков потенциальных клиентов Как составить списки потенциальных клиентов для работы по телефону?,7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,А где находится эта телефонная будка?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Разве из этого не следует, что процесс покупки не может дойти до логического завершения без личного участия покупателя?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы когда-нибудь замечали, как сильно вам приходится сосредоточиваться, когда вы садитесь за руль нового, незнакомого автомобиля?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы поняли, почему ему это удалось?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Учите другие языки Вы знаете, что великие Чемпионы разговаривают на многих иных языках?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Вовлекайте клиента в размышления Как?,7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,А как у тебя идут дела?,5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Затем я произнес слабым голосом: - Что ты имеешь в виду, говоря, что все уже сделано?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вам станут известны эти факты, вы сможете более ясно представить, как вести себя с потенциальными клиентами, не так ли?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы ведь не будете спорить с тем, что презентация товара для человека, который зарабатывает себе на жизнь, разрушая бетон отбойным молотком, должна отличаться от презентации для того, кто лечит людей, выписывая им таблетки?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Не прявла ли, что  Оборудование и материалы, необходимые для проведения презентации или демонстрации  История о Подобной Ситуации, которой можно воспользоваться (только название истории), если она на кассете - номер кассеты  Средство для физического вовлечения  Сведения, касающиеся конкурентов,- текущее положение на рынке, которое можно упомянуть для того, чтобы усилить потребность или желание БЛАНК ПРЕДВАРИТЕЛЬНОГО ПЛАНИРОВАНИЯ ПРОДАЖ КОРПОРАЦИЯМ  Название компании  Имя и должность челове",5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что вы собираетесь сказать клиенту по телефону для того, чтобы пробудить в нем желание встретиться с вами?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Разве вы не хотите узнать, что вам скажут клиенты до того, как вы внесете копировальную машину через их вращающуюся дверь, прежде чем вы в деталях распишите новые возможности своего металлообрабатывающего станка или начнете рассказывать о вашей ориентированной на клиентов услуге?",7.5
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Когда возникает такое возражение, я говорю: "" Не правда ли, что Что на это может возразить клиент?",7
